Reaction	Metabolites	Stoichiometry
G3PAT1611	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	-1.0
G3PAT1611	1hdec9eg3p_c	1.0
G3PAT1611	EG50003-MONOMER_mod_pan4p(1)	1.0
dpm_import	dpm_c	1.0
3HAD1811	h2o_c	1.0
3HAD1811	EG50003-MONOMER_mod_pan4p(1)_mod_t3c11vace(1)	1.0
3HAD1811	EG50003-MONOMER_mod_pan4p(1)_mod_3hcvac11e(1)	-1.0
EAR141x1	nadh_c	-1.0
EAR141x1	EG50003-MONOMER_mod_pan4p(1)_mod_t3c7mrse(1)	-1.0
EAR141x1	nad_c	1.0
EAR141x1	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	1.0
EAR141x1	h_c	-1.0
MOADSUx1	nad_c	1.0
MOADSUx1	nadh_c	-1.0
MOADSUx1	IscS_mod_pydx5p(2)	1.0
MOADSUx1	EG11597-MONOMER_mod_amp(1)	-1.0
MOADSUx1	amp_c	1.0
MOADSUx1	EG11597-MONOMER_mod_cosh(1)	1.0
MOADSUx1	IscS_mod_pydx5p(2)_mod_SH(1)	-1.0
AGPAT1801	EG50003-MONOMER_mod_pan4p(1)	1.0
AGPAT1801	pa180_c	1.0
AGPAT1801	1odecg3p_c	-1.0
AGPAT1801	EG50003-MONOMER_mod_pan4p(1)_mod_ocdca(1)	-1.0
IscU_Fe_loading	IscU	-1.0
IscU_Fe_loading	IscU_mod_fe2(1)	1.0
IscU_Fe_loading	fe2_c	-1.0
ACOATA1	coa_c	1.0
ACOATA1	EG50003-MONOMER_mod_pan4p(1)_mod_ac(1)	1.0
ACOATA1	accoa_c	-1.0
ACOATA1	EG50003-MONOMER_mod_pan4p(1)	-1.0
EDTXS41	kdo2lipid4p_c	-1.0
EDTXS41	lipa_cold_c	1.0
EDTXS41	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	-1.0
EDTXS41	EG50003-MONOMER_mod_pan4p(1)	1.0
AACPS81	ppi_c	1.0
AACPS81	EG50003-MONOMER_mod_pan4p(1)_mod_dca(1)	1.0
AACPS81	dca_c	-1.0
AACPS81	atp_c	-1.0
AACPS81	amp_c	1.0
AACPS81	EG50003-MONOMER_mod_pan4p(1)	-1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2)	CPLX0-1341_mod_2fe2s(1)_mod_fe2(2)	-1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2)	CPLX0-246_CPLX0-1342_mod_pydx5p(1)_mod_SH(1)	-1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2)	CPLX0-1341_mod_2fe2s(1)_mod_2fe1s(1)	1.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2)	h_c	4.0
S_transfer_to_SufBCD_mod_2Fe2S(1)_mod_fe2(2)	CPLX0-246_CPLX0-1342_mod_pydx5p(1)	1.0
FLDR22	nadp_c	1.0
FLDR22	FLAVODOXIN2-MONOMER_mod_Oxidized(1)	-2.0
FLDR22	h_c	1.0
FLDR22	nadph_c	-1.0
FLDR22	FLAVODOXIN2-MONOMER	2.0
ALPATE160pp1	EG10544-MONOMER	1.0
ALPATE160pp1	pe160_p	-1.0
ALPATE160pp1	EG10544-MONOMER_mod_palmitate(1)	-1.0
ALPATE160pp1	2agpe160_p	1.0
RNDR3b4	GRXC-MONOMER_mod_Oxidized(1)	1.0
RNDR3b4	h2o_c	1.0
RNDR3b4	dcdp_c	1.0
RNDR3b4	GRXC-MONOMER	-1.0
RNDR3b4	cdp_c	-1.0
RNDR3b1	GLUTAREDOXIN-MONOMER_mod_Oxidized(1)	1.0
RNDR3b1	h2o_c	1.0
RNDR3b1	dcdp_c	1.0
RNDR3b1	GLUTAREDOXIN-MONOMER	-1.0
RNDR3b1	cdp_c	-1.0
RNDR3b2	GRXB-MONOMER	-1.0
RNDR3b2	h2o_c	1.0
RNDR3b2	GRXB-MONOMER_mod_Oxidized(1)	1.0
RNDR3b2	dcdp_c	1.0
RNDR3b2	cdp_c	-1.0
RNDR3b3	CPLX0-7817_mod_Oxidized(1)	1.0
RNDR3b3	h2o_c	1.0
RNDR3b3	dcdp_c	1.0
RNDR3b3	CPLX0-7817	-1.0
RNDR3b3	cdp_c	-1.0
3OAR1811	nadp_c	1.0
3OAR1811	h_c	-1.0
3OAR1811	nadph_c	-1.0
3OAR1811	EG50003-MONOMER_mod_pan4p(1)_mod_3hcvac11e(1)	1.0
3OAR1811	EG50003-MONOMER_mod_pan4p(1)_mod_3ocvac11e(1)	-1.0
FA140ACPHi1	h2o_c	-1.0
FA140ACPHi1	h_c	1.0
FA140ACPHi1	EG50003-MONOMER_mod_pan4p(1)_mod_myrs(1)	-1.0
FA140ACPHi1	ttdca_c	1.0
FA140ACPHi1	EG50003-MONOMER_mod_pan4p(1)	1.0
3HAD1801	h2o_c	1.0
3HAD1801	EG50003-MONOMER_mod_pan4p(1)_mod_3hocta(1)	-1.0
3HAD1801	EG50003-MONOMER_mod_pan4p(1)_mod_toctd2e(1)	1.0
EAR141y1	nadp_c	1.0
EAR141y1	h_c	-1.0
EAR141y1	nadph_c	-1.0
EAR141y1	EG50003-MONOMER_mod_pan4p(1)_mod_t3c7mrse(1)	-1.0
EAR141y1	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	1.0
4Fe4S_to_ErpA_by_IscA	CPLX-7524_mod_mn2(1)	-1.0
4Fe4S_to_ErpA_by_IscA	IscA_tetra	1.0
4Fe4S_to_ErpA_by_IscA	CPLX-7524_mod_mn2(1)_mod_4fe4s(1)	1.0
4Fe4S_to_ErpA_by_IscA	IscA_tetra_mod_4fe4s(1)	-1.0
3HAD401	h2o_c	1.0
3HAD401	EG50003-MONOMER_mod_pan4p(1)_mod_but2e(1)	1.0
3HAD401	EG50003-MONOMER_mod_pan4p(1)_mod_3ha(1)	-1.0
THIORDXi1	RED-THIOREDOXIN-MONOMER_mod_Oxidized(1)	1.0
THIORDXi1	RED-THIOREDOXIN-MONOMER	-1.0
THIORDXi1	h2o2_c	-1.0
THIORDXi1	h2o_c	2.0
THIORDXi2	h2o_c	2.0
THIORDXi2	RED-THIOREDOXIN2-MONOMER	-1.0
THIORDXi2	RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1)	1.0
THIORDXi2	h2o2_c	-1.0
3OAS1411	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
3OAS1411	EG50003-MONOMER_mod_pan4p(1)_mod_cddec5e(1)	-1.0
3OAS1411	h_c	-1.0
3OAS1411	co2_c	1.0
3OAS1411	EG50003-MONOMER_mod_pan4p(1)_mod_3ocmrs7e(1)	1.0
3OAS1411	EG50003-MONOMER_mod_pan4p(1)	1.0
RNDR4b4	GRXC-MONOMER_mod_Oxidized(1)	1.0
RNDR4b4	udp_c	-1.0
RNDR4b4	dudp_c	1.0
RNDR4b4	GRXC-MONOMER	-1.0
RNDR4b4	h2o_c	1.0
RNDR4b2	GRXB-MONOMER	-1.0
RNDR4b2	udp_c	-1.0
RNDR4b2	dudp_c	1.0
RNDR4b2	GRXB-MONOMER_mod_Oxidized(1)	1.0
RNDR4b2	h2o_c	1.0
RNDR4b1	GLUTAREDOXIN-MONOMER_mod_Oxidized(1)	1.0
RNDR4b1	udp_c	-1.0
RNDR4b1	dudp_c	1.0
RNDR4b1	GLUTAREDOXIN-MONOMER	-1.0
RNDR4b1	h2o_c	1.0
4Fe4S_to_SufA_by_IscU	pi_c	1.0
4Fe4S_to_SufA_by_IscU	IscU	1.0
4Fe4S_to_SufA_by_IscU	IscU_mod_4fe4s(1)	-1.0
4Fe4S_to_SufA_by_IscU	atp_c	-1.0
4Fe4S_to_SufA_by_IscU	CPLX0-7824	-1.0
4Fe4S_to_SufA_by_IscU	CPLX0-7824_mod_4fe4s(1)	1.0
4Fe4S_to_SufA_by_IscU	adp_c	1.0
FLDR21	nadp_c	1.0
FLDR21	h_c	1.0
FLDR21	nadph_c	-1.0
FLDR21	FLAVODOXIN1-MONOMER_mod_Oxidized(1)	-2.0
FLDR21	FLAVODOXIN1-MONOMER	2.0
3OAS1811	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
3OAS1811	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	-1.0
3OAS1811	h_c	-1.0
3OAS1811	co2_c	1.0
3OAS1811	EG50003-MONOMER_mod_pan4p(1)_mod_3ocvac11e(1)	1.0
3OAS1811	EG50003-MONOMER_mod_pan4p(1)	1.0
G3PAT1411	glyc3p_c	-1.0
G3PAT1411	1tdec7eg3p_c	1.0
G3PAT1411	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	-1.0
G3PAT1411	EG50003-MONOMER_mod_pan4p(1)	1.0
RNTR4c22	dutp_c	1.0
RNTR4c22	FLAVODOXIN2-MONOMER_mod_Oxidized(1)	2.0
RNTR4c22	h2o_c	1.0
RNTR4c22	utp_c	-1.0
RNTR4c22	FLAVODOXIN2-MONOMER	-2.0
RNTR4c22	h_c	-2.0
RNTR4c21	FLAVODOXIN1-MONOMER	-2.0
RNTR4c21	dutp_c	1.0
RNTR4c21	FLAVODOXIN1-MONOMER_mod_Oxidized(1)	2.0
RNTR4c21	h2o_c	1.0
RNTR4c21	utp_c	-1.0
RNTR4c21	h_c	-2.0
3OAR1601	nadp_c	1.0
3OAR1601	EG50003-MONOMER_mod_pan4p(1)_mod_3hpalm(1)	1.0
3OAR1601	h_c	-1.0
3OAR1601	nadph_c	-1.0
3OAR1601	EG50003-MONOMER_mod_pan4p(1)_mod_3opalm(1)	-1.0
ICYSDS1	cys__L_c	-1.0
ICYSDS1	IscS_mod_pydx5p(2)_mod_SH(1)	1.0
ICYSDS1	IscS_mod_pydx5p(2)	-1.0
ICYSDS1	ala__L_c	1.0
3HAD1001	h2o_c	1.0
3HAD1001	EG50003-MONOMER_mod_pan4p(1)_mod_3hdec(1)	-1.0
3HAD1001	EG50003-MONOMER_mod_pan4p(1)_mod_tdec2e(1)	1.0
pqq_transport	pqq_e	-1.0
pqq_transport	pqq_c	1.0
GLUTRR	nadph_c	-1.0
GLUTRR	generic_tRNA_GAG_glu__L_c	-1.0
GLUTRR	glu__L_c	-1.0
GLUTRR	h_c	-1.0
GLUTRR	nadp_c	1.0
GLUTRR	glu1sa_c	1.0
acp_lipoate_synthase	EG50003-MONOMER_mod_pan4p(1)_mod_oc(1)	-1.0
acp_lipoate_synthase	EG50003-MONOMER_mod_pan4p(1)_mod_lipo(1)	1.0
acp_lipoate_synthase	amet_c	-2.0
acp_lipoate_synthase	met__L_c	2.0
acp_lipoate_synthase	dad__5_c	2.0
acp_lipoate_synthase	CPLX0-782_mod_4fe4s(2)	-1.0
acp_lipoate_synthase	CPLX0-782_mod_2fe2s(1)_mod_4fe4s(1)	1.0
acp_lipoate_synthase	fe2_c	2.0
acp_lipoate_synthase	h_c	-1.0
acp_lipoate_synthase	nad_c	-1.0
acp_lipoate_synthase	nadh_c	1.0
CPLX0-782_mod_4fe4s_regeneration(1)	CPLX0-782_mod_2fe2s(1)_mod_4fe4s(1)	-1.0
CPLX0-782_mod_4fe4s_regeneration(1)	2fe2s_c	-1.0
CPLX0-782_mod_4fe4s_regeneration(1)	CPLX0-782_mod_4fe4s(2)	1.0
NHFRBO	EG12450-MONOMER	-1.0
NHFRBO	nad_c	1.0
NHFRBO	n2o_c	1.0
NHFRBO	h_c	-1.0
NHFRBO	nadh_c	-1.0
NHFRBO	h2o_c	1.0
NHFRBO	no_c	-2.0
